91, 'http://game.youku.com/index/lol/_page93117_4.html', 'game.youku.com', '英雄联盟', '', '', '', 'list', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'done');
92, 'http://game.youku.com/index/lol/_page93117_5.html', 'game.youku.com', '英雄联盟', '', '', '', 'list', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'done');
93, 'http://game.youku.com/index/lol/_page93117_6.html', 'game.youku.com', '英雄联盟', '', '', '', 'list', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'done');
94, 'http://game.youku.com/index/lol/_page93117_7.html', 'game.youku.com', '英雄联盟', '', '', '', 'list', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'done');
95, 'http://game.youku.com/index/lol/_page93117_8.html', 'game.youku.com', '英雄联盟', '', '', '', 'list', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'done');
96, 'http://game.youku.com/index/lol/_page93117_9.html', 'game.youku.com', '英雄联盟', '', '', '', 'list', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'done');
97, 'http://game.youku.com/index/lol/_page93117_10.html', 'game.youku.com', '英雄联盟', '', '', '', 'list', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'done');
99, 'http://game.youku.com/index/lol/_page93117_55.html', 'game.youku.com', '英雄联盟', '', '', '', 'list', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'done');
100, 'http://v.youku.com/v_show/id_XNzMzMTQ3Mzg4.html', 'game.youku.com', '英雄联盟', 'Faker变身蜘蛛干翻全场', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
101, 'http://v.youku.com/v_show/id_XNzMyNzQzNjU2.html', 'game.youku.com', '英雄联盟', '逗比大挑战VOL.02卡牌!怀念MJ!', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
